year,sujet,author,organisme
 2012,Hierarchical Topic Segmentation of TV shows Automatic Transcripts,Anca-Roxana Simon,"INSA Rennes - Institut National des Sciences Appliquées - Rennes ,TEXMEX - Multimedia content-based indexing"
 2016,Maintenance et évolution d’application web pour l’industrie de l’aviation,Raphaël Gioda,UTLN SeaTech - Université de Toulon - École d’ingénieurs SeaTech
 2012,Vérification probabiliste de résultats d'analyse statique,Antoine Bride,"ENS Cachan Bretagne - École normale supérieure - Cachan, antenne de Bretagne ,CELTIQUE - Software certification with semantic analysis"
 2010,Conception d'un éditeur d'annotations de documents textuels en bio-informatique,Hassiba Zidelkheir,CNAM Rhône-Alpes - Centre d'enseignement Cnam Rhône-Alpes
 1975,Conception et réalisation d'un dictionnaire pour un analyseur interactif de langues naturelles,Ernest Grandjean,"CNAM Grenoble - Centre d'enseignement Cnam Grenoble ,IMAG - Institut d'Informatique et de Mathématiques Appliquées de Grenoble"
 2012,Defining an Information Flow Control Policy with Declassification and Countermeasures,Llorenç Garcia Cases,"IRISA - Institut de Recherche en Informatique et Systèmes Aléatoires ,Télécom Bretagne - Brest"
 2011,Adapter le vocabulaire d'un système de transcription automatique de la parole aux thèmes abordés,Florent Tissier,UR1 - Université de Rennes 1
 2016,Maîtrise des transformations XML dans une chaîne de publication,Renaud Marchand,CNAM Midi-Pyrénées - Centre d'enseignement Cnam Midi-Pyrénées
 2010,Fouille d'opinions,Sébastien Gillot,"UR1 - Université de Rennes 1 ,IFSIC - Institut de Formation Supérieure en Informatique et Communication ,IRISA - Institut de Recherche en Informatique et Systèmes Aléatoires"
 2010,Information Retrieval: From Language Models to Fuzzy Logic,Rima Harastani,"ENS Cachan Bretagne - École normale supérieure - Cachan, antenne de Bretagne"
 2013,Generation of polynomial inequalities as invariants,Yannick Zakowski,"ENS Cachan Bretagne - École normale supérieure - Cachan, antenne de Bretagne ,IRISA - Institut de Recherche en Informatique et Systèmes Aléatoires"
 2013,"Formalisation et exécutabilité du langage ""EditionPattern"" au sein de la plate-forme Openflexo",Medhi Alaoui Belghiti,"Télécom Bretagne - Brest ,IRISA - Institut de Recherche en Informatique et Systèmes Aléatoires"
 2012,Anonymisation de réseaux sociaux,Mohammed Ghesmoune,"UR1 - Université de Rennes 1 ,S4 - System synthesis and supervision, scenarios"
 2012,Modèle dynamique comportemental dans le cadre de la gestion de la prise de parole,Michaël Bernard,"CERV - Centre Européen de Réalité Virtuelle ,ENIB - École Nationale d'Ingénieurs de Brest"
 2011,Exploration de la Grammaire Catégorielle Combinatoire Multimodale,Simon Delamarre,Telecom Bretagne - Rennes
 2011,Détection automatique d'erreurs d'annotations pour améliorer les performances des algorithmes d'apprentissage automatique,Carole Lemort,UR1 - Université de Rennes 1
 2011,Formalisation de l'évaluation des dialogueurs automatiques,Carlo Baugé,Telecom Bretagne - Rennes
