year,sujet,author,organisme
2014,Projet TourInFlux. Annotation des expressions temporelles,Lucie Drat,"UGA UFR LLASIC SLFLE  - Université Grenoble Alpes - UFR Langage, lettres et arts du spectacle, information et communication - Dpt Sciences du langage et français langue étrangère"
2010,Mise en place d'un dispositif d'apprentissage à distance pour de jeunes élèves nouvellement arrivés en France : adaptation et mise à niveau,Denis Cooremens,Grenoble 3 - UFR des Sciences du langage
2011,Passage à une approche actionnelle en FOAD : le cas de l'Alliance française de Cuba,Bérengère Jourdan,Grenoble 3 - UFR des Sciences du langage
2011,Adaptation au domaine de la traduction automatique statistique,Marwen Azouzi,Grenoble 3 - UFR des Sciences du langage
2010,Élaboration d'un référentiel pour des étudiants issus de classes bilingues entrant en filières francophones au Laos,Gwenaëlle Montagnon,Grenoble 3 - UFR des Sciences du langage
2010,Évaluation de solutions de traduction pour les services Semantia,Lucile Paroz,Grenoble 3 - UFR des Sciences du langage
2011,"Concevoir et animer une formation linguistique, culturelle et pédagogique des enseignants de FLE. Le cas d'une Alliance française dans le sud de l'Inde",Tiphaine Amar,Grenoble 3 - UFR des Sciences du langage
2010,Modélisation d'une ontologie de domaine et des outils d'extraction de l'information associés pour l'anglais et le français,Laurie Serrano,Grenoble 3 - UFR des Sciences du langage
2012,Extraction d'expressions polylexicales sur corpus arboré,Julien Corman,"UGA UFR LLASIC SLFLE  - Université Grenoble Alpes - UFR Langage, lettres et arts du spectacle, information et communication - Dpt Sciences du langage et français langue étrangère"
2019,Le deuil périnatal : le tabou à travers les mots,Agnès Bessières,USN ESIT - Université Sorbonne Nouvelle - Paris 3 - École supérieure d'interprètes et de traducteurs
2014,L'analyse des adjectifs axiologiques dans les ouvrages touristiques sur la Thaïlande,Jitwongnan Jarukan,"UGA UFR LLASIC SLFLE  - Université Grenoble Alpes - UFR Langage, lettres et arts du spectacle, information et communication - Dpt Sciences du langage et français langue étrangère ,LIDILEM - LInguistique et DIdactique des Langues Étrangères et Maternelles"
2010,Vers une analyse génétique de textes assistée par l'informatique et le TAL : contextes et pistes exploratoires,Claire Lemaire,Grenoble 3 - UFR des Sciences du langage
2019,"Brezhoneg, Niverel, Deskadurezh : hiziv ha warc’hoazh",Goulven Dauneau,UR2 UFRL - Université de Rennes 2 - UFR Langues
2011,Prise en compte de variables syntaxiques et textuelles dans l'analyse sémantique distributionnelle automatique,Mickaël Galop,Grenoble 3 - UFR des Sciences du langage
2011,Outils génériques pour l'étiquetage morphosyntaxique de la langue arabe : segmentation et corpus d'entraînement,Dhaou Ghoul,Grenoble 3 - UFR des Sciences du langage
2011,Recherche automatique d'antériorités de brevets par la recherche de revendications et de segments proches potentiellement invalidants,Edmée Marazel,Grenoble 3 - UFR des Sciences du langage
2010,Approche mixte pour la traduction automatique statistique,Haïtem Afli,Grenoble 3 - UFR des Sciences du langage
2010,SMS et TAL : kL 1Trè* ? (*SMS et TAL : Quel intérêt ?),Gaëlle Chabert,Grenoble 3 - UFR des Sciences du langage
2010,"La littérature entre en jeu, la littérature par le jeu en classe de FLE : de l'analyse théorique à la pratique",Coralie Hostiou,Grenoble 3 - UFR des Sciences du langage
2010,Adaptation des techniques de Text Mining aux données conversationnelles issues de l'oral,Charlotte Danesi,Grenoble 3 - UFR des Sciences du langage
2017,Détection automatique de la despécialisation pour un usage lexicographique. Le cas du domaine du sport.,Léa Delvenne,UT2J - Université Toulouse - Jean Jaurès
2015,Identification de la langue & étiquetage morpho-syntaxique de tweets.,Sevil Zeynaligargari,"UGA UFR LLASIC SLFLE  - Université Grenoble Alpes - UFR Langage, lettres et arts du spectacle, information et communication - Dpt Sciences du langage et français langue étrangère"
2011,Caractérisation des accents étrangers en utilisant des techniques de reconnaissance automatique de la parole,Mohamed Ben Jannet,Grenoble 3 - UFR des Sciences du langage
2017,Catégorisation automatique d’actes de communication : les fils de discussion des pages de discussion Wikipédia,Anouk Birski,UT2J - Université Toulouse - Jean Jaurès
